city,state,latitude,longitude,source
AURORA,CO,39.703633,-104.720088,census
AURORA,MO,36.967436,-93.718596,census
AURORA,NE,40.864656,-98.008069,census
AURORA,OR,45.228317,-122.757227,census
AUSTIN,IN,38.739986,-85.810587,census
AUSTIN,MN,43.672098,-92.977863,census
AUSTIN,TX,30.298622,-97.754134,census
AUSTINBURG,OH,41.769168,-80.855605,census
AUSTINVILLE,VA,36.851018,-80.914507,census
AVENEL,NJ,40.584334,-74.271626,census
AVIS,PA,41.185691,-77.316486,census
AVOCA,IA,41.482816,-95.337261,census
AVON,NY,42.912842,-77.746490,census
AVON,OH,41.445100,-82.005109,census
AVONDALE,AZ,33.313236,-112.328928,census
AYER,MA,42.562221,-71.584844,census
AYNOR,SC,34.000230,-79.207117,census
AZLE,TX,32.895547,-97.539230,census
AZTEC,NM,36.815898,-107.970312,census
BADEN,PA,40.639695,-80.222537,census
BAILEYVILLE,ME,45.154952,-67.405013,nominatim
BAINBRIDGE,GA,30.906213,-84.572652,census
BAIRD,TX,32.396067,-99.395993,census
BAKER,FL,30.797225,-86.681691,nominatim
BAKER CITY,OR,44.774886,-117.831986,census
BALD KNOB,AR,35.312539,-91.571253,census
BALDWIN,WI,44.954448,-92.371520,census
BALLINGER,TX,31.739146,-99.955413,census
BALTIMORE,MD,39.300032,-76.610476,census
BANGOR,ME,44.829625,-68.788767,census
BANGS,TX,31.716130,-99.130320,census
BARABOO,WI,43.469408,-89.737289,census
BARBERTON,OH,41.006903,-81.604390,census
BARDSTOWN,KY,37.817665,-85.455345,census
BARNEVELD,WI,43.011704,-89.896823,census
BARNHART,MO,38.336604,-90.403095,census
BARRINGTON,NH,43.223191,-71.047211,nominatim
BARRON,WI,45.402192,-91.844350,census
BARRY,IL,39.698310,-91.039918,census
BARTLESVILLE,OK,36.737668,-95.948454,census
BARTOW,FL,27.886803,-81.821758,census
BASSETT,VA,36.761517,-79.986551,census
BASTIAN,VA,37.153528,-81.152495,census
BASTROP,TX,30.111100,-97.318152,census
BATAVIA,IA,40.994954,-92.167346,census
BATAVIA,IL,41.847692,-88.311047,census
BATES CITY,MO,39.003936,-94.063391,census
BATESBURG,SC,33.913306,-81.528079,census
BATESVILLE,AR,35.768572,-91.622652,census
BATESVILLE,MS,34.320982,-89.924878,census
BATH,NY,42.336093,-77.316860,census
BATON ROUGE,LA,30.440443,-91.133166,census
BATTLE CREEK,MI,42.299176,-85.229267,census
BATTLE MOUNTAIN,NV,40.628371,-116.948553,census
BAXLEY,GA,31.764753,-82.349254,census
BAXTER,TN,36.153678,-85.634922,census
BAY CITY,MI,43.590062,-83.888421,census
BEACH,ND,46.918747,-104.005446,census
BEALETON,VA,38.583009,-77.778763,census
BEAR CREEK,WI,44.531318,-88.727536,census
BEATRICE,NE,40.273281,-96.745954,census
BEAUMONT,MS,31.167543,-88.928356,census
BEAUMONT,TX,30.084912,-94.145330,census
BEAVER,UT,38.275872,-112.638098,census
BEAVER DAM,KY,37.403758,-86.873606,census
BEAVER DAM,WI,43.468105,-88.830900,census
BEAVERDAM,OH,40.832487,-83.973383,census
BECKLEY,WV,37.773148,-81.161550,census
BEDFORD,OH,41.392123,-81.534680,census
BEDFORD,PA,40.015115,-78.503017,census
BEDFORD PARK,IL,41.767773,-87.772556,census
BEEBE,AR,35.072433,-91.901059,census
BEECH ISLAND,SC,33.428596,-81.890318,census
BEEVILLE,TX,28.405244,-97.748931,census
BELDEN,MS,34.310383,-88.788389,nominatim
BELEN,NM,34.766572,-106.808512,census
BELFIELD,ND,46.886789,-103.195481,census
BELGIUM,WI,43.501807,-87.847551,census
BELGRADE,MT,45.778662,-111.177147,census
BELHAVEN,NC,35.542961,-76.623111,census
BELLE CHASSE,LA,29.858697,-90.003290,census
BELLE FOURCHE,SD,44.663798,-103.859143,census
BELLE PLAINE,KS,37.393428,-97.279548,census
BELLE PLAINE,MN,44.619780,-93.764595,census
BELLE ROSE,LA,30.042205,-91.049721,census
BELLEFONTAINE,OH,40.362755,-83.763008,census
BELLEFONTE,PA,40.914213,-77.768197,census
BELLEMONT,AZ,35.242489,-111.813789,census
BELLEVILLE,KS,39.824337,-97.633855,census
BELLEVILLE,MI,42.201917,-83.482812,census
BELLEVILLE,WI,42.864018,-89.539616,census
BELLINGHAM,WA,48.753442,-122.470179,census
BELLOWS FALLS,VT,43.134554,-72.459088,census
BELLVILLE,OH,40.617729,-82.513147,census
BELLWOOD,IL,41.882901,-87.876170,census
BELMONT,NY,42.220105,-78.030794,census
BELMONT,OH,40.027979,-81.040933,census
BELMONT,WI,42.737670,-90.334326,census
BELOIT,KS,39.464698,-98.108340,census
BELOIT,WI,42.523506,-89.017660,census
BELTON,TX,31.052345,-97.479542,census
BELTSVILLE,MD,39.039903,-76.920443,census
BELVIDERE,IL,42.265448,-88.887758,census
BEMIDJI,MN,47.487034,-94.882690,census
BENJAMIN,TX,33.583606,-99.792932,census
BENNET,NE,40.681727,-96.503932,census
BENNETT,CO,39.741727,-104.428719,census
BENNETTSVILLE,SC,34.628218,-79.685958,census
BENSALEM,PA,40.104555,-74.951279,nominatim
BENSENVILLE,IL,41.958011,-87.943825,census
BENSON,AZ,31.914497,-110.328552,census
BENTLEYVILLE,PA,40.117846,-80.004420,census
BENTON,AR,34.577424,-92.572583,census
BENTON,IL,38.013187,-88.917281,census
BENTON,KY,36.848003,-88.361650,census
BENTON HARBOR,MI,42.113495,-86.447250,census
BEREA,KY,37.589296,-84.294502,census
BEREA,OH,41.370548,-81.861757,census
BERESFORD,SD,43.079646,-96.780224,census
BERGEN,NY,43.082601,-77.942458,census
BERLIN,MA,42.381366,-71.637264,nominatim
BERLIN,WI,43.969729,-88.950033,census
BERNALILLO,NM,35.312363,-106.554104,census
BERTHOUD,CO,40.284675,-104.965515,census
BERWICK,LA,29.700548,-91.235184,census
BERWYN,IL,41.843333,-87.790926,census
BESSEMER,AL,33.370858,-86.971522,census
BESSEMER,MI,46.477579,-90.049836,census
BETHANY,LA,32.373768,-94.037965,nominatim
BETHANY,MO,40.268164,-94.029822,census
BETHEL,NC,35.807223,-77.376250,census
BETHEL,PA,40.476483,-76.287970,census
BETHLEHEM,GA,33.937948,-83.709982,census
BETTENDORF,IA,41.566836,-90.476879,census
BEVIER,MO,39.751433,-92.563880,census
BEVINGTON,IA,41.359945,-93.784239,census
BIDDEFORD,ME,43.438733,-70.392943,census
BIDWELL,OH,38.920936,-82.285388,census
BIG BEND,WI,42.883895,-88.203596,census
BIG CABIN,OK,36.542261,-95.221994,census
BIG LAKE,TX,31.194112,-101.453406,census
BIG POOL,MD,39.625094,-78.016168,census
BIG RAPIDS,MI,43.699671,-85.481250,census
BIG SPRING,TX,32.238341,-101.485739,census
BIG SPRINGS,NE,41.060902,-102.074466,census
BIG TIMBER,MT,45.834782,-109.948266,census
BILLINGS,MT,45.788538,-108.552475,census
BILLINGS,OK,36.537595,-97.441749,census
BILOXI,MS,30.426663,-88.935762,census
BINGHAMTON,NY,42.101331,-75.909369,census
BIRMINGHAM,AL,33.527174,-86.797036,census
BISHOPVILLE,SC,34.220070,-80.247370,census
BISMARCK,ND,46.814583,-100.770089,census
BLACK EARTH,WI,43.134619,-89.747354,census
BLACK RIVER FALLS,WI,44.298452,-90.842787,census
BLACK ROCK,AR,36.106237,-91.107480,census
BLACKFOOT,ID,43.194595,-112.346811,census
BLACKSBURG,SC,35.122088,-81.518119,census
BLACKSHEAR,GA,31.290824,-82.252927,census
BLACKWELL,OK,36.801341,-97.300871,census
BLADENBORO,NC,34.540870,-78.794660,census
BLADENSBURG,MD,38.942368,-76.925910,census
BLAINE,WA,48.987190,-122.748770,census
